ID,Word,Meaning,Etymology,Derived
1,create,を創り出す；を引き起こす,cresce(生じる・成長する)が語源,creation(創造) / creative(創造的な)
2,increase,増加する；を増やす,in(上に) + cresce(増える) → 段階的に増える,decrease(減少する) / increasingly(ますます)
3,improve,を向上させる；よくなる,in(中に) + proud(利益) → 価値を高める,improvement(向上・改善)
4,mean,を意味する；(…する)つもりである(to do),mind(心)と同語源 → 心の中に思い浮かべる,meaning(意味) / meaningful(意味のある)
5,own,を所有している；(事実・罪など)を認める,owe(負うている)と同語源 → 自分のものにする,owner(所有者) / ownership(所有権)
6,include,を含む,in(中に) + clude(閉じる) → 枠の中に閉じ込める,exclude(除外する) / inclusive(含んだ)
7,consider,を見なす；について考える,con(共に) + sider(星) → 星座を見てじっくり運勢を考える,consideration(考慮) / considerable(かなりの)
8,allow,を許す；を与える；(～を)考慮に入れる(for),al(〜へ) + locare(配置する・割り当てる),allowance(手当・小遣い)
9,suggest,を提案する；を暗示する,sug(下に) + gest(運ぶ) → 下からそっと差し出す,suggestion(提案・暗示)
10,produce,を生産する；を取り出す,pro(前方へ) + duce(導く) → 前に引き出す,product(製品) / production(生産)
11,decide,を決める；に決着をつける,de(切り離す) + cide(切る) → 迷いを断ち切る,decision(決定) / decisive(決定的な)
12,offer,を提供する，申し出る,of(〜に向かって) + fer(運ぶ) → 相手の前に差し出す,offering(提供物・申し出)
13,require,を要求する；を必要とする,re(強く) + quire(求める) → 強く求める,requirement(必要条件) / required(必須の)
14,share,を共有する；を分担する,shear(切る)と同語源 → 切り分ける,shareholder(株主)
15,store,を保存する；を蓄える,instaurare(建てる・蓄える)が語源,storage(保管・貯蔵)
16,tend,傾向がある；を世話する,tend(伸ばす) → 特定の方向に心を伸ばす,tendency(傾向)
17,concern,〔受身形で〕心配している；〔受身形で〕(～に)関係する(with)；に関連する,con(共に) + cern(ふるい分ける) → 意識を集中させる,concerning(〜に関して)
18,describe,について述べる，を説明する,de(書き下ろす) + scribe(書く),description(描写・説明) / descriptive(描写的な)
19,involve,を関与させる；を伴う,in(中に) + volve(転がす) → 中に巻き込む,involvement(関与・巻き込み)
20,reduce,を減らす；を(～に)変える(to),re(後ろへ) + duce(導く) → 元の位置へ引き戻す,reduction(削減・減少)
21,design,を設計する；を計画する,de(書き下ろす) + sign(印を付ける),designer(設計者)
22,force,に強いる；を強要する,fort(強い)が語源 → 力で押し切る,forceful(力強い) / enfore(強制する)
23,limit,を制限［規制］する,limes(境界・道)が語源,limitation(制限・限界) / limited(限られた)
24,bear,に耐える；を負う；を産む；を(心に)抱く,fer(運ぶ・生む)と同語源 → 重荷を背負う,unbearable(耐えられない)
25,affect,に影響を及ぼす；を感動させる,af(〜へ) + fect(作る・行う) → 働きかける,affection(愛情) / affective(感情的な)
26,deal,〔＋withで〕を処理する；〔＋inで〕を商う；を分配する,part(分ける)と同語源 → 切り分けて配る,dealer(商人・取扱業者)
27,avoid,を避ける,a(〜から) + void(空の) → 離れて空間を空ける,avoidable(回避可能な) / avoidance(回避)
28,relate,を関連づける；(～に)関連する(to),re(再び) + late(運ぶ) → 結びつけて連れていく,relation(関係) / relative(親戚・相対的な)
29,realize,に気づく；を実現する,real(現実の) + ize(〜にする) → 実体化させる,realization(理解・実現)
30,encourage,を奨励する；を励ます,en(〜にする) + courage(勇気) → 勇気を与える,discourage(落胆させる) / encouragement(励まし)
31,compare,を比較する；を(～に)たとえる(to),com(共に) + par(等しい) → 並べて比べる,comparison(比較) / comparative(比較の)
32,measure,を測る；を(比較して)評価する,mensus(測られた)が語源,measurement(測定・寸法)
33,exist,存在する；生存する,ex(外へ) + sist(立つ) → 現れ出る,existence(存在) / existing(現存する)
34,mark,に印をつける；を(記号で)示す；に汚れをつける,margin(余白)と同語源 → 境界を示す印,marker(目印・マーカー)
35,challenge,に異議を唱える；(人)に挑む,calumnia(言いがかり)が語源 → 言いがかりを設けて挑む,challenger(挑戦者)
36,depend,頼る；～次第である,de(下に) + pend(ぶら下がる) → 下にぶら下がる,dependent(依存している) / independent(独立した)
37,object,反対する；(…)と言って反対する(that節),ob(向かって) + ject(投げる) → 反対の意見を投げつける,objection(反対・異議) / objective(客観的な・目的)
38,demand,を要求する,de(強く) + mand(命じる) → 強く求める,demanding(厳しい・要求の多い)
39,found,を設立する；(理論など)を(～に基づいて)築く(on),fundus(底・基礎)が語源,foundation(設立・基礎) / founder(創設者)
40,complete,を完成させる，仕上げる,com(完全に) + plet(満たす) → 満杯にする,completion(完成) / completely(完全に)
41,idea,考え，思いつき；理解；見解；概念,id(見る) → 頭の中に見えるイメージ,ideal(理想的な)
42,accord,一致；合意，協定,ad(〜へ) + cord(心) → 心を一つにする,accordingly(それに応じて) / accordance(一致)
43,company,会社；〔集合的に〕仲間；(仲間と)一緒にいること；一座,com(共に) + pan(パン) → パンを食む仲間,companion(仲間)
44,interest,興味；利子；利害,inter(の間に) + est(存在する) → 強い関わりがあること,interesting(興味深い)
45,research, (～についての)研究，調査(into / on / in),re(再び) + search(探す) → 繰り返し探求する,researcher(研究者)
46,cause,原因；理由；大義,causa(訴訟・理由),causal(原因となる)
47,reason,理由；(…する)根拠(to do)；理性；分別,rat(計算する・考える)が語源,reasonable(道理にかなった・手頃な)
48,effect,影響，効果；結果,ex(外へ) + fect(作る) → 作り出された結果,effective(効果的な) / affection(愛情)
49,influence,影響(力),in(中に) + flue(流れる) → 人の中に流れ込んで変化させる,influential(影響力のある)
50,situation,状況；(人の置かれた)立場,site(場所)が語源 → 置かれた場所・状態,situate(位置づける)
51,environment,環境,en(〜の中に) + vir(回る) → 周りを取り囲むもの,environmental(環境の)
52,skill,技能；熟練,skill(分離する・見分ける)が語源 → 見分ける能力,skilled(熟練した) / skillful(巧みな)
53,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,mater(母・材料)が語源 → 実体のあるもの,material(材料・物質的な)
54,view, (～についての)見解(on / about)；(～に対する)(特定の)見方(of)；眺め,vid(見る)が語源,viewer(視聴者)
55,value,価値；価格；評価；〔～s〕価値観,val(強い・価値がある)が語源,valuable(価値のある) / evaluate(評価する)
56,species, (生物の)種；種類,spec(見る) → 見た目で分類された種類,special(特別な)
57,thought,考え；思考,think(考える)の名詞形,thoughtful(思いやりのある) / thoughtless(不配慮な)
58,knowledge,知識；知っていること；認識,know(知る) + ledge(状態・過程),knowledgeable(知識が豊富な)
59,memory,記憶(力)；(～の)思い出(of),mem(心に留める)が語源,memorize(暗記する) / memorial(記念碑)
60,practice,実践，実行；(社会の)慣習；練習,prac(行う)が語源,practical(実践的な) / practitioner(開業者・実践者)
61,benefit,利益，恩恵；給付金,bene(良い) + fit(作る) → 良いことをもたらすもの,beneficial(有益な)
62,theory,学説；理論；原理；推測,thea(見る・観察する)が語源,theoretical(理論上の)
63,issue,問題(点)；発行(物)；発表,ex(外へ) + ire(行く) → 外に出てくる問題・出版物,issuer(発行者)
64,experiment, (～を対象とする)実験(on),ex(外へ) + peri(試す) → 試してみること,experimental(実験的な)
65,article,記事；条項；品物,art(関節・小分け)が語源 → 細かく分けられた項目・記事,articulate(明確に述べる)
66,focus,焦点；関心の的,focus(暖炉・火元)が語源 → 人が集まる中央の場所,focal(焦点の)
67,subject,話題；科目；主題；被験者,sub(下に) + ject(投げる) → 支配下に置かれたテーマ・人,subjective(主観的な)
68,project,計画；事業；研究計画,pro(前方へ) + ject(投げる) → 前方に投げかけた構想,projection(予測・投影)
69,quality,質；特質,qualis(どのような)が語源 → どのような状態か,qualify(資格を与える)
70,role,役割；(俳優などの)役,rot(回転する・巻物) → 台本（巻物）に書かれた役,enroll(登録する)
71,term, (専門)用語；〔～s〕条件；〔～s〕間柄；学期,terminus(境界・終わり)が語源 → 範囲を区切る言葉・期間,terminate(終わらせる)
72,statement,声明；主張；明細書,state(述べる・状態) + ment(名詞化),state(述べる)
73,material,材料，素材；資料；生地,mater(母・基礎となるもの)が語源,materialism(物質主義)
74,evidence,証拠,ex(外へ) + vid(見る) → はっきりと外に見えるもの,evident(明白な)
75,source, (～の)源，根源(of)；出所，情報源,surg(湧き出る)が語源 → 水が湧き出る源,resource(資源)
76,community, (共同)社会，～界；地域社会；地域住民,com(共に) + mun(親切・奉仕) → 共に支え合う集団,communal(共同体の)
77,technology,科学技術；応用技術,techne(技術) + logy(学問),technological(科学技術の)
78,culture,文化；教養；耕作；養殖；培養,cult(耕す)が語源 → 心や土地を耕すこと,cultural(文化的な) / cultivate(耕す)
79,appropriate, (～に)適切な(for / to),ad(〜へ) + proprius(自身の・適した),appropriately(適切に)
80,likely,ありそうな,like(似ている・同じ) + ly(形容詞化),likelihood(可能性)
81,possible,可能な；可能性のある,pos(能力がある) → できる可能性がある,possibility(可能性) / possibly(ひょっとすると)
82,individual,個々の；個人の,in(打ち消し) + divide(分ける) → これ以上分けられない一個の存在,individuality(個性)
83,public,公の；公衆の；公開の,populus(人々・民衆)が語源,publicly(公に) / publicity(広報・宣伝)
84,common,共通の；普通の；一般の,com(共に) + mun(共有の・奉仕する) → みんなで共有する,commonly(一般に)
85,certain,確信して；確かな；ある；一定の,cern(ふるい分ける・決定する)が語源,certainly(確かに) / certainty(確実性)
86,similar,似ている，類似した；同様の,simil(同じ)が語源,similarity(類似点) / similarly(同様に)
87,recent,最近の,recens(新しい・新鮮な)が語源,recently(最近)
88,major,主要な；大きい(ほうの)；長調の,mag(大きい)の比較級,majority(過半数・多数派)
89,patient,忍耐強い；勤勉な,pass(苦しむ・耐える)が語源,patience(忍耐) / patient(患者)
90,particular,特定の；特別の；(～について)やかましい(about),part(部分) → 細かい部分にこだわる,particularly(特に)
91,physical,身体の；物質的な；物理学の,physis(自然・肉体)が語源,physician(医師) / physics(物理学)
92,various,さまざまな；いくつかの,vary(変わる) → 変化に富んだ,variety(多様性) / vary(異なる)
93,available,手に入る；利用できる；手が空いている,a(〜へ) + vail(価値がある・効力がある) → 利用する価値がある,availability(利用可能性)
94,native,出生地の；原産の；生得の,nat(生まれる)が語源,nativity(誕生) / nation(国家)
95,political,政治(上)の,polis(都市国家)が語源,politics(政治) / politician(政治家)
96,due,予定された；(支払)期日で；しかるべき,devoir(負うている)が語源 → 支払うべき・到達すべき,duty(義務)
97,blank,空白の；無表情な；がらんとした,blanc(白い・輝く)が語源 → 白紙のままの,blanket(毛布)
98,ancient,古代の；昔からの,ante(前に)が語源 → 大昔の,ancestor(祖先)
99,correct,正しい；適切な,com(完全に) + rect(まっすぐな) → 完全に正された,correction(訂正) / correctly(正しく)
100,despite,～にもかかわらず,de(下を見下す) + spite(見る) → 見下して無視して進む,spite(悪意・意地悪)
101,notice,に気づく,not(知る) → 知るための記号・合図,noticeable(目立つ・顕著な)
102,refer,言及する，関連する；参照する,re(後ろへ) + fer(運ぶ) → 視線を元へ戻す・参照する,reference(参照・言及)
103,approach,に近づく；に取り組む,ad(〜へ) + prope(近く) → 距離を縮める,approachable(近寄りやすい)
104,wonder,かなと思う；(に)驚く(at),wondrous(素晴らしい)と同語源,wonderful(素晴らしい)
105,imagine, (を)想像する；(を)推測する,image(像) + ine(動詞化) → 心の中に像を描く,imagination(想像力) / imaginary(架空の)
106,recognize,を識別できる；を認める,re(再び) + con(共に) + gnos(知る) → 見覚えて知る,recognition(認識・承認)
107,solve,を解く，解明する；(困難など)を解決する,se(離れて) + luere(解く) → 解きほぐす,solution(解決策) / solvent(解決する)
108,occur,起こる；心に浮かぶ；現れる,ob(向かって) + cur(走る) → 目の前に走り出てくる,occurrence(出来事・発生)
109,argue,と主張する；議論する,arg(輝く・白) → 明らかにして主張する,argument(議論・主張)
110,claim,と主張する；を(自分のものとして)要求する,clam(大声で叫ぶ)が語源,claimant(要求者・原告)
111,express,を表す，述べる,ex(外へ) + press(押す) → 感情を押し出す,expression(表現) / expressive(表現豊かな)
112,draw,を引き出す；を引く；を描く；近づく,drag(引っぱる)と同語源,drawer(引き出し・描く人)
113,waste,を浪費する，無駄にする,vastus(空っぽの・荒廃した)が語源,wasteful(無駄の多い)
